result,firstServeIn%,aces,doubleFaults,firstServePointsWon%,secondServePointsWon%,breakPointsWon%,returnPointsWon%
1,60,8,1,59,62,56,46
1,64,5,3,70,58,41,41
1,65,15,2,75,53,60,40
1,71,8,2,89,74,27,34
1,63,20,4,86,53,27,35
1,66,10,0,82,47,50,45
1,69,13,1,80,67,33,40
1,55,19,2,87,51,33,44
1,65,3,1,73,73,29,40
1,61,18,4,82,56,25,28
1,73,3,7,73,67,36,38
1,64,10,0,78,64,24,40
1,52,10,4,78,44,38,42
1,58,17,5,72,50,50,32
1,63,8,3,75,66,27,33
1,63,6,0,91,79,100,55
1,64,21,0,75,63,38,39
1,67,10,2,78,63,43,44
1,69,16,0,72,50,38,41
1,68,7,1,80,29,73,53
1,61,6,3,77,56,22,34
1,59,9,2,68,63,35,41
1,61,11,6,66,45,42,49
1,77,4,1,69,63,38,38
1,53,3,0,71,67,42,43
1,44,4,3,78,58,39,53
1,57,5,1,89,58,63,44
1,71,6,2,76,49,38,37
0,65,10,3,65,34,42,40
0,59,10,4,64,52,63,34
0,59,5,6,67,50,33,32
0,68,15,2,72,53,0,15
0,62,6,2,74,50,25,26
0,74,3,6,64,29,0,30
0,63,9,3,65,51,50,24
0,78,1,3,60,42,33,29
0,66,8,1,65,50,50,27
0,62,21,7,82,57,0,28
0,58,16,5,71,49,50,29
0,61,9,1,67,49,50,27
0,61,2,1,64,50,25,39
0,73,7,1,71,59,57,37
0,60,7,5,81,46,0,28
0,60,1,3,56,30,0,14
0,61,5,2,73,42,33,29
0,60,8,5,66,42,25,27
0,47,15,4,73,47,58,35
0,68,6,3,60,20,40,36
0,67,20,1,75,47,56,31
0,67,10,4,66,45,67,34
0,63,9,10,64,30,29,42
0,64,11,5,66,55,30,33
0,65,2,1,61,50,50,31
0,60,1,2,54,37,20,33
0,67,5,3,57,55,17,25
0,62,17,5,74,45,15,32
1,67,9,3,76,50,27,41
1,70,8,2,68,67,32,39
1,52,15,6,76,59,20,33
1,63,3,0,76,60,39,49
1,58,9,2,78,42,50,47
1,61,10,1,83,50,32,41
1,54,4,0,88,62,38,37
1,70,3,4,73,50,60,40
1,76,2,2,91,57,100,51
1,67,9,1,80,43,50,37
1,62,1,1,68,56,64,51
1,62,1,2,65,61,39,45
1,59,10,1,81,59,63,44
1,68,4,1,75,74,33,36
1,70,5,2,70,42,50,54
1,64,6,3,72,60,50,39
1,60,3,1,66,66,35,48
1,64,11,0,82,79,42,43
1,75,5,0,73,61,58,52
1,47,1,3,86,67,58,54
1,75,2,0,81,53,43,47
1,62,4,4,62,53,53,46
1,68,6,2,73,48,70,49
1,60,2,1,85,58,70,53
1,67,7,2,71,53,46,42
1,58,11,1,69,60,44,44
1,64,3,5,68,39,53,50
1,66,10,1,84,50,50,39
0,65,6,0,63,53,20,33
0,66,12,1,64,55,75,32
0,69,8,2,72,56,6,32
0,60,3,2,59,38,40,30
0,56,2,11,68,35,45,37
0,66,5,6,67,43,57,30
0,63,7,0,68,56,0,24
0,65,11,3,72,36,33,34
0,52,2,3,63,34,0,17
0,57,13,5,70,53,29,32
0,63,2,1,53,43,21,36
0,76,4,5,60,41,31,36
0,50,3,2,69,44,33,28
0,70,21,4,79,29,50,26
0,62,1,5,58,25,25,38
0,67,5,2,64,53,56,33
0,58,6,3,62,40,40,34
0,60,4,5,66,43,100,19
0,60,3,4,58,34,20,30
0,59,2,2,55,32,0,24
0,67,0,3,58,42,67,26
0,59,3,4,62,44,70,42
0,56,9,3,56,45,50,35
0,56,1,3,51,41,0,26
0,68,6,3,65,42,36,35
0,59,6,4,74,31,40,35
0,53,3,1,60,39,33,43
0,63,4,1,70,45,0,28
1,66,13,1,74,60,40,34
1,76,12,2,78,46,38,40
1,76,20,1,84,55,30,35
1,72,4,1,79,74,60,36
1,67,6,4,74,66,56,31
1,64,4,3,84,56,38,34
